headline,story_in_detail
"Devices supposed to stop blackouts helped cause the big one Saturday in Manhattan, Con Ed says","A system meant to prevent electric outages helped cause the big one that hit Manhattan over the weekend, Con Edison said.,It began when a 13,000-volt distribution cable failed at W. 64th St. and West End Ave. about 6:47 p.m. Saturday, the company said in a statement on Monday.,But the cable failure was just the beginning of the problem.,A series of relay switches about a block away, at the company’s W. 65th St. substation, should have automatically diverted power around the failed cable, the company says.,Those relays failed.,“While the cable fault was an initiating event, the customer outages were the result of the failure of the protective relay systems,” Con Ed explained in a statement.,The failure cascaded through the company’s cables and switching systems to a substation at W. 49th St. — where relays prevented the outage from spreading further.,But by then the damage was done — power was gone on a swath of Manhattan’s west side, rouighly from W. 72nd St. south to W. 30th St. The approximate eastern boundary of the blackout was Fifth Ave.,Con Ed initially believed the failure of the 13,000-volt cable at W. 64th St. was “unrelated to the transmission disturbance” — but further investigation proved that it was the blackout’s triggering event, the company said.,More than half the 72,000 Con Ed customers affected by the blackout had power back in about three hours, the company said. Everyone affected had power back by around midnight.,Mayor de Blasio — who was pursuing his long-shot presidential candidacy in Iowa when the blackout hit — challenged the judgment of the company’s engineers.,“I am troubled that one of the few factors Con Edison initially ruled out, the 13,000 volt cable, has been determined to be the catalyst of the outage,” de Blasio said.,“Thankfully, as a result of the quick work of our first responders, no one was injured and there was no spike in crime in the five hours the incident lasted.”"
The most stunning remote islands in the world,
How to cook steak perfectly on the stove every time,
She did the Ice Bucket Challenge — then found out she had ALS ,"Back in 2014, which is several centuries in Internet time, Sunny Brous Erasmus, was one of the many, many people to take the Ice Bucket Challenge, where people dumped water on their heads to raise money and awareness of ALS, an incurable nerve system disease.,Unbeknownst to her, though, she had actually begun experiencing symptoms of the disease the year prior.,“Everyone else was doing it, so why not?” ,. “It was a good cause and a fun activity to get involved with.”,After several months of dealing with bouts of weakness and exhaustion, Erasmus began a process of being diagnosed with ALS, or amyotrophic lateral sclerosis, that lasted more than a year.,“ALS is a disease of suggestion. There’s no qualifier, so we had to rule out tons of different diseases before I was diagnosed,” she says. “I had more blood drawn than I knew I had in my body. I had an MRI to rule out multiple sclerosis. I had a spinal tap to rule out Lyme disease. It just takes forever to go around the horn and back to get any kind of understanding and general consensus.”,Erasmus knows that ALS moves quickly in most cases, but she’s keeping her spirits up.,“I’ve met people that were diagnosed and unfortunately were gone within six months,” Erasmus says. “I’ve met people that were diagnosed up to 20 years ago and they’re still kicking ass and taking names. For me, my symptoms when they started progressing, it will be five years since my diagnosis this coming January. I’m still walking. I obviously am still talking. I’m still driving. I walk really slow, and with a walking stick — his name is Phil. But I’m not in a wheelchair yet.”"
The most inflammatory foods you can put in your body,
"Mayor de Blasio returns to NYC, defends his absence during Manhattan blackout","The lights were off, but Mayor de Blasio insisted he was never too far from home. ,Hizzoner was stompin’ the presidential campaign trail in Waterloo, Iowa, when part of his home base descended into darkness in a major blackout on Saturday, but he defended his absence because technology kept him connected to the city.,“With modern communications, the minute it was clear we had a serious situation, I was on the phone to all these folks and we were talking constantly,"" the mayor told reporters on Sunday after returning to New York more than 12 hours after electricity was restored. ,“I was going to have to provide guidance wherever I was.”,De Blasio was in the Midwestern town when he learned that the lights were out on the West Side in the city’s worst outage since Hurricane Sandy darkened much of lower Manhattan in 2012., which started just before 7 p.m. and lasted until midnight, trapped five trains carrying some 2,875 riders in subway tunnels, according to NYC Transit President Andy Byford. Other people were stuck in elevators. Broadway went dark, concerts abruptly ended and street lights went down.,Back in Iowa, De Blasio left Waterloo, population 67,000 ― about a third of the Upper West Side’s — at 9 p.m. Eastern time and was driven to Chicago on a four-hour trip to try to catch a late flight, he said. But he ended up spending the night at a hotel near O’Hare Airport, then stuck around Sunday morning for a live interview with CNN.,The quixotic candidate bemoaned Iowa’s lack of transportation, explaining to reporters on Sunday that it’s not easy to escape rural America on short notice.,“Unfortunately on a Saturday evening it’s a very long trip back so I wasn’t going to be able to be here immediately under any circumstance,"" said de Blasio. ""There’s fewer flights by the time we could get there, and we were in a place where it’s harder to get to a major airport from.”,The mayor has been out of the city most weekends since he announced his long-shot campaign for president in May.,The mayor’s absence gave Gov. Cuomo a chance to claim much of the credit for fixing the problem, which left hundreds of thousands of people in the dark from W. 72nd St. down to W. 30th St., and from Fifth Ave. to the Hudson River.,Cuomo sent in state police officers to keep the streets safe and called up the National Guard for assistance. He spent much of the night calling into numerous news shows to discuss the situation — and didn’t miss the opportunity to take a swipe at de Blasio.,""Mayors are important and you have to be on site, "" he said on CNN Saturday night. “I have been governor of New York for eight years. In that time I can count the number of times I’ve left the state on my fingers.”,Council Speaker Corey Johnson also took a share of the spotlight Saturday night, repeatedly calling into news networks and tweeting out updates to New Yorkers.,“I’m really happy I worked very closely with Speaker Johnson,” de Blasio said Sunday. “I think he did a great job yesterday.”"
Teen charged with shooting orphaned 3-year-old’s father indicted in connection to murder: DA,"The Harlem teen charged with gunning down the father of a now-orphaned 3-year-old girl was indicted in connection to the slaying, prosecutors said Monday.,The exact charges against D’Andre Ellis, 17, will remain sealed until he’s arraigned in Supreme Court on Aug. 14. He was arrested on murder and weapons possession charges last week after surrendering to authorities.,Prosecutors say he stalked 25-year-old Randy McNair and then shot him twice after 4 a.m. on June 15, on W. 133rd St.,“This case involves what can only be termed as premeditated murder,” Assistant District Attorney David Nasar said last week. ”For at least 20 minutes, the defendant and several other people are depicted on video basically hunting the victim.”,The Daily News reported that the tragedy left McNair’s little daughter Charlie to grow up without a mother or father — her mom Toni Wells was murdered in December 2017 in a domestic abuse incident in Brooklyn.,Charlie is now in the custody of her paternal grandmother, although there is fighting within the family over who should get to raise her. McNair had also been fighting for custody with Charlie’s maternal grandmother Elizabeth Rivera.,In court Monday, McNair’s mother Tamara Etheridge was worked up over the sight of her son’s alleged killer Ellis.,“I hope his ass rot in f------g jail,” she fumed before leaving the courtroom.,There was a brief discussion over whether his case would go before a youthful offender court judge because of his age but his attorney said a murder case would be sent back to adult court."
Hiker who vanished near California campgrounds with her dog is found alive,"A hiker who went missing last week was found , later by a search team, California authorities said Monday.,Sheryl Powell, described as an experienced hiker, went missing during a camping trip with her husband at the Grandview Campground in the Bristlecone Pine Forest.,After choosing a campsite, Sheryl Powell took the couple’s dog on a walk while her husband re-parked their Jeep. She was gone by the time he returned.,“Searchers describe her as resilient and strong but exhausted after being lost in an extremely remote area above Big Pine, Calif. Mrs. Powell was met at the Bishop Airport by ambulance and will be taken to the local hospital for medical clearance. ,""We are beyond grateful for the continued support from her family, local residents, visitors and the media. We also cannot thank our assisting agencies enough for their amazingly hard work in difficult terrain throughout this 4-day search,” ,.,Powell’s husband reached out to law enforcement after an hour of searching himself.,Shortly before the sheriff’s office said she was found, it announced Powell’s husband was not suspected in the disappearance.,The area presents challenges even for experienced hikers like Powell, the sheriff’s office said, such as “multiple gullies, shale slopes, low shade, direct sun and rattlesnakes.”"
Harvey Weinstein replaces lead attorney with woman lawyer critical of #MeToo movement ,"When it comes to #MeToo, count this woman out.,Attorney Donna Rotunno, now representing disgraced Oscar winner Harvey Weinstein against charges of rape and sexual assault, insisted Thursday that her new client was the real victim in the case.,“I believe he has been railroaded,” Rotunno declared after her debut at a Manhattan Supreme Court hearing. “I believe movements allow emotion to take over and they are devoid of fact and evidence, and I believe that to be the case ... The emotion of this case has taken over, and common sense has been left outside.”,Weinstein fired attorney Jose Baez as his lead lawyer for Rotunno, a Chicago-based counselor who specializes in defending men accused of sex crimes. Baez had represented acquitted killer Casey Anthony at her Florida acquittal for the murder of her 2-year-old daughter.,Rotunno insisted the movie industry pariah became the villain of the #MeToo awakening without any proof supporting the vile allegations leveled against Weinstein by dozens of women, including an assortment of Hollywood stars.,“I think it’s going to become quite obvious that the relationships he had with the women in this case were quite consensual and we have a lot of documentation to back this up,” she said. ""Mr. Weinstein has taken on 18 months or more of public scrutiny, and we are here to hope that the justice system allows him a fair trial.,""I believe that the facts and evidence in this case are actually very favorable to Mr. Weinstein.”,Rotunno said she was uniquely qualified by her gender to put Weinstein’s accusers under a full-court press on the witness stand.,“I think it’s a little more effective to have a woman asking a woman questions,” she said. “I think I can come across in a way that might not seem bullying or offensive.”,Asked about a past remark that she enjoys an advantage on cross-examinations of victims because she’s a woman, Rotunno didn’t back down.,“Absolutely,"" she said.,Rotunno was immediately ripped by Gloria Allred, a celebrity civil lawyer representing some of Weinstein’s accusers.,“I agree that women are responsible for their own choices, but when will Mr. Weinstein be held responsible for his?"" wondered Allred.,Rotunno, who has said she uses “venom” when trying sex assault cases, is already crossing lines, Allred suggested. She fully expects “we will see victim shaming and victim blaming” at trial.,“If this is Ms. Rotunna’s strategy, and if she believes that because she is a woman she can get away with it, she may find that New York juries will be turned off by that tactic,"" said the veteran attorney.,“A venomous attack on a victim who alleges that she has undergone traumatic sexual assault is not acceptable.”,Weinstein’s trial is still set to go forward on Sept. 9. Both sides agreed to swap witness lists at least two weeks in advance."
Hollywood PDA: Stars go public with their affection,
